date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/10/2014,P84004,FIVE OAKS FAMILIY PRACTICE,417,2856.64,0,0
01/11/2014,P84004,FIVE OAKS FAMILIY PRACTICE,386,2671.05,0,0
01/12/2014,P84004,FIVE OAKS FAMILIY PRACTICE,507,3031.1,0,0
01/01/2015,P84004,FIVE OAKS FAMILIY PRACTICE,448,2696.91,0,0
01/02/2015,P84004,FIVE OAKS FAMILIY PRACTICE,394,2419.17,0,0
01/03/2015,P84004,FIVE OAKS FAMILIY PRACTICE,423,3512.08,0,0
01/04/2015,P84004,FIVE OAKS FAMILIY PRACTICE,369,2399.28,0,0
01/05/2015,P84004,FIVE OAKS FAMILIY PRACTICE,365,2646.51,0,0
01/06/2015,P84004,FIVE OAKS FAMILIY PRACTICE,360,2571.29,0,0
01/07/2015,P84004,FIVE OAKS FAMILIY PRACTICE,395,3382.59,0,0
01/08/2015,P84004,FIVE OAKS FAMILIY PRACTICE,313,2394.43,0,0
01/09/2015,P84004,FIVE OAKS FAMILIY PRACTICE,372,2569.34,0,0
01/10/2015,P84004,FIVE OAKS FAMILIY PRACTICE,428,2428.87,0,0
01/11/2015,P84004,FIVE OAKS FAMILIY PRACTICE,414,2602.45,0,0
01/12/2015,P84004,FIVE OAKS FAMILIY PRACTICE,547,2745.77,0,0
01/01/2016,P84004,FIVE OAKS FAMILIY PRACTICE,484,3260.79,0,0
01/02/2016,P84004,FIVE OAKS FAMILIY PRACTICE,448,2819.6,0,0
01/03/2016,P84004,FIVE OAKS FAMILIY PRACTICE,426,2509.95,0,0
01/04/2016,P84004,FIVE OAKS FAMILIY PRACTICE,496,2567.82,0,0
01/05/2016,P84004,FIVE OAKS FAMILIY PRACTICE,355,3148.99,0,0
01/06/2016,P84004,FIVE OAKS FAMILIY PRACTICE,404,2864.49,0,0
01/07/2016,P84004,FIVE OAKS FAMILIY PRACTICE,291,1620.22,0,0
01/08/2016,P84004,FIVE OAKS FAMILIY PRACTICE,301,2186.36,0,0
01/09/2016,P84004,FIVE OAKS FAMILIY PRACTICE,321,1819.64,0,0
01/10/2016,P84004,FIVE OAKS FAMILIY PRACTICE,399,2297.68,0,0
01/11/2016,P84004,FIVE OAKS FAMILIY PRACTICE,364,2678.59,0,0
01/12/2016,P84004,FIVE OAKS FAMILIY PRACTICE,414,1753.27,0,0
01/01/2017,P84004,FIVE OAKS FAMILIY PRACTICE,421,1755.66,0,0
01/02/2017,P84004,FIVE OAKS FAMILIY PRACTICE,466,1960.94,0,0
01/03/2017,P84004,FIVE OAKS FAMILIY PRACTICE,401,1875.87,0,0
01/04/2017,P84004,FIVE OAKS FAMILIY PRACTICE,412,2260.97,0,0
01/05/2017,P84004,FIVE OAKS FAMILIY PRACTICE,490,2370.31,0,0
01/06/2017,P84004,FIVE OAKS FAMILIY PRACTICE,530,2682.4,0,0
01/07/2017,P84004,FIVE OAKS FAMILIY PRACTICE,538,2519.8,0,0
01/08/2017,P84004,FIVE OAKS FAMILIY PRACTICE,435,1737.22,0,0
01/09/2017,P84004,FIVE OAKS FAMILIY PRACTICE,434,1715.35,0,0
01/10/2017,P84004,FIVE OAKS FAMILIY PRACTICE,561,2188.56,0,0
01/11/2017,P84004,FIVE OAKS FAMILIY PRACTICE,531,2239.46,0,0
01/12/2017,P84004,FIVE OAKS FAMILIY PRACTICE,585,2044.41,0,0
01/01/2018,P84004,FIVE OAKS FAMILIY PRACTICE,697,2183.94,0,0
01/02/2018,P84004,FIVE OAKS FAMILIY PRACTICE,607,2038.59,0,0
01/03/2018,P84004,FIVE OAKS FAMILIY PRACTICE,651,2687.73,0,0
01/04/2018,P84004,FIVE OAKS FAMILIY PRACTICE,443,1722.67,0,0
01/05/2018,P84004,FIVE OAKS FAMILIY PRACTICE,461,1819.4,0,0
01/06/2018,P84004,FIVE OAKS FAMILIY PRACTICE,408,1649.61,0,0
01/07/2018,P84004,FIVE OAKS FAMILIY PRACTICE,423,1612.74,0,0
