measure,org_type,org_id,org_name,date,numerator,denominator,calc_value,percentile
ktt9_antibiotics,practice,P84650,THE ALEXANDRA PRACTICE,2014-10-01,199.0,3106.65350703308,0.0640560653286531,9.18107833163784
ktt9_antibiotics,practice,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,2014-10-01,463.0,4252.7996044663,0.10886946084028,75.8646998982706
ktt9_antibiotics,practice,P84071,WILBRAHAM SURGERY,2014-10-01,219.0,2275.85696544372,0.0962274885132343,57.5406917599186
ktt9_antibiotics,practice,P84049,THE AVENUE MEDICAL CENTRE,2014-10-01,850.0,5602.46254380749,0.151718997379022,96.7319430315361
ktt9_antibiotics,practice,P84024,BOWLAND MEDICAL PRACTICE,2014-10-01,703.0,4127.45596003749,0.170322834890676,98.1307222787386
ktt9_antibiotics,practice,P84663,THE NEVILLE FAMILY CENTRE,2014-10-01,317.0,2194.32238454427,0.14446373159787,95.7146490335707
ktt9_antibiotics,practice,Y02960,NEW BANK HEALTH,2014-10-01,246.0,2363.17850371208,0.104097087720451,69.7482197355036
ktt9_antibiotics,practice,P84064,NEW ISLINGTON MEDICAL CENTRE,2014-10-01,197.0,1900.80306298986,0.103640405382202,69.0361139369278
ktt9_antibiotics,practice,P84062,BROOKDALE SURGERY,2014-10-01,145.0,1522.54761484911,0.0952351168435348,55.9638860630722
ktt9_antibiotics,practice,Y01695,MP VICTORIA MILL,2014-10-01,138.0,1205.15570350903,0.114508025476034,82.0701932858596
ktt9_antibiotics,practice,P84623,ALEESHAN MEDICAL CENTRE,2014-10-01,25.0,592.704135410534,0.0421795606043542,1.46236012207528
ktt9_antibiotics,practice,P84042,FLORENCE HOUSE MEDICAL PRACTICE,2014-10-01,367.0,4217.625708413,0.087015782189476,40.9079348931841
ktt9_antibiotics,practice,P84005,THE VALLANCE CENTRE,2014-10-01,203.0,3567.70539191956,0.0568993169839,4.97202441505595
ktt9_antibiotics,practice,P84665,AL-SHIFA MEDICAL CENTRE,2014-10-01,116.0,1344.52868128501,0.0862755860954451,39.5854526958291
ktt9_antibiotics,practice,P84645,PARK VIEW MEDICAL CENTRE,2014-10-01,393.0,3276.86825429138,0.119931583909523,86.3555442522889
ktt9_antibiotics,practice,P84616,MANCHESTER MEDICAL,2014-10-01,190.0,3237.07600501061,0.058694945594698,5.81129196337742
ktt9_antibiotics,practice,P84072,THE ROBERT DARBISHIRE PRACTICE,2014-10-01,610.0,9506.85312252266,0.0641642394321682,9.21922685656155
ktt9_antibiotics,practice,P84639,FALLOWFIELD MEDICAL CENTRE,2014-10-01,56.0,1060.3223359786,0.0528141284021109,3.39521871820956
ktt9_antibiotics,practice,P84054,WHITLEY ROAD MEDICAL CENTRE,2014-10-01,520.0,3540.45094557345,0.146873945718735,96.1088504577823
ktt9_antibiotics,practice,P84017,LADYBARN GROUP PRACTICE,2014-10-01,427.0,5410.83838956494,0.0789156816850213,26.1571719226857
ktt9_antibiotics,practice,P84009,AILSA CRAIG MEDICAL CENTRE,2014-10-01,357.0,4620.30198685198,0.0772676766618106,23.5630722278739
ktt9_antibiotics,practice,P84033,BEACON MEDICAL CENTRE,2014-10-01,413.0,2090.63796613024,0.197547354774418,98.8936927772126
ktt9_antibiotics,practice,P84028,GORTON MEDICAL CENTRE,2014-10-01,651.0,4594.65037721474,0.141686515089018,95.206002034588
ktt9_antibiotics,practice,P84631,ARTANE MEDICAL CENTRE,2014-10-01,145.0,1086.89351274741,0.133407733415828,92.8153611393693
ktt9_antibiotics,practice,P84635,THE WHITSWOOD PRACTICE,2014-10-01,135.0,1776.48024664274,0.0759929643209534,21.7700915564598
ktt9_antibiotics,practice,P84689,LONGSIGHT MEDICAL PRACTICE,2014-10-01,182.0,2241.0613381443,0.081211521033469,30.3789420142421
ktt9_antibiotics,practice,P84048,TREGENNA GROUP PRACTICE,2014-10-01,499.0,3571.17616594926,0.139729875204115,94.6846388606307
